source,target
0,145
0,913
0,155
0,704
0,828
0,924
0,829
0,0
0,221
0,266
0,894
1,265
1,1
1,514
1,710
1,181
1,262
1,691
1,68
1,841
1,115
1,382
1,870
2,852
2,639
2,301
2,427
2,112
2,65
2,638
2,194
2,214
2,735
2,743
2,297
2,967
2,977
3,587
3,660
3,80
3,283
3,609
3,538
3,37
3,56
3,303
3,845
3,919
4,196
4,538
4,283
4,799
4,556
4,925
4,37
4,286
4,296
4,882
4,889
4,402
4,439
5,589
5,109
5,865
5,5
5,305
5,566
5,527
5,844
5,128
5,962
6,535
6,623
6,665
6,443
6,777
6,213
6,395
6,651
6,408
6,677
6,183
6,954
6,188
6,980
6,737
7,143
7,716
7,660
7,147
7,78
7,613
7,371
8,762
8,13
8,160
8,825
8,987
8,151
8,38
8,563
8,706
8,968
8,714
9,819
9,151
9,9
9,400
9,43
9,191
9,706
9,968
9,714
9,877
10,984
10,208
10,276
10,640
10,880
10,962
10,534
10,543
10,47
10,69
10,646
10,729
10,734
10,243
10,245
10,836
10,459
10,878
11,348
11,237
11,767
11,581
11,959
11,903
11,174
11,205
11,277
11,564
11,898
11,685
11,442
11,995
11,838
12,521
12,779
12,94
12,606
12,692
12,316
12,478
12,402
13,202
13,645
13,242
13,825
13,714
13,601
13,781
13,38
13,46
13,706
13,968
14,768
14,663
14,513
14,852
14,281
14,322
14,427
14,857
14,740
14,752
14,856
14,414
14,967
15,270
15,130
15,262
15,780
15,265
15,841
15,602
15,691
15,710
15,118
16,263
16,391
16,913
16,353
16,16
16,809
16,177
16,956
16,827
16,924
16,676
16,554
16,436
16,476
16,354
16,661
17,469
17,384
17,457
17,497
17,41
17,53
17,660
17,944
17,815
17,703
17,723
17,909
17,633
17,173
17,613
17,371
18,873
18,994
18,139
18,744
18,617
18,472
18,624
18,720
18,796
18,445
18,509
19,314
19,62
19,327
19,890
19,75
19,313
19,620
19,524
19,538
19,795
19,285
19,595
19,90
19,30
19,362
20,206
20,891
20,274
20,729
20,211
20,208
20,425
20,323
20,447
20,596
20,403
20,575
20,781
20,336
20,272
20,196
20,734
20,243
20,345
20,859
20,984
21,996
21,921
21,994
21,34
21,374
21,349
21,212
21,979
21,456
21,530
21,415
21,136
21,720
21,747
21,955
21,991
21,408
22,345
22,641
22,616
22,61
22,591
22,628
22,78
22,357
23,516
23,767
23,975
23,874
23,259
23,564
23,578
23,372
23,664
23,732
23,237
23,492
24,137
24,837
24,121
24,840
24,481
24,649
24,954
24,188
24,980
24,387
25,228
25,26
25,834
25,832
25,300
25,286
25,920
25,37
26,697
26,889
26,288
26,309
26,803
26,177
26,37
26,862
26,385
26,942
26,495
27,110
27,574
27,551
27,695
27,790
27,244
27,770
27,247
27,306
27,310
27,902
27,297
28,778
28,367
28,77
28,186
28,983
28,66
28,730
28,432
28,535
28,163
28,758
29,260
29,684
29,893
29,37
29,538
29,157
29,309
29,321
29,974
30,230
30,279
30,709
30,477
30,333
30,688
31,276
31,935
31,729
31,952
31,211
31,941
31,196
31,224
31,751
31,243
31,274
31,345
31,459
31,984
32,795
32,285
32,79
32,49
32,62
32,712
32,896
33,998
33,925
33,684
33,568
33,986
33,489
33,165
33,553
34,52
34,853
34,409
34,320
34,275
34,57
34,337
34,869
34,711
34,577
34,873
34,455
34,999
35,54
35,632
35,35
35,221
35,45
35,61
35,727
35,233
36,642
36,365
36,412
36,111
36,666
36,464
36,293
36,603
36,872
