agent_id,day,stress,usage,peer_influence,persona,intervention_active
0,0,25.0,103.65461786032672,0.0,Moderate User,False
1,0,50.0,263.206417718224,0.0,Active User,False
2,0,50.0,239.56134078737907,0.0,Active User,False
3,0,0.0,56.46912390339398,0.0,Minimalist,False
4,0,100.0,548.2268819484116,0.0,Digital Addict,False
5,0,0.0,70.46637974228453,0.0,Minimalist,False
6,0,25.0,127.44602164430476,0.0,Moderate User,False
7,0,75.0,473.8671724577883,0.0,Heavy User,False
8,0,25.0,154.98427368545012,0.0,Moderate User,False
9,0,100.0,557.0327672211184,0.0,Digital Addict,False
10,0,25.0,164.4127631581466,0.0,Moderate User,False
11,0,50.0,203.2784366494056,0.0,Active User,False
12,0,0.0,68.6663261648439,0.0,Minimalist,False
13,0,25.0,111.55120264873186,0.0,Moderate User,False
14,0,0.0,89.86039561642208,0.0,Minimalist,False
15,0,100.0,529.3296881154663,0.0,Digital Addict,False
16,0,0.0,35.589983434458794,0.0,Minimalist,False
17,0,50.0,241.3533488733492,0.0,Active User,False
18,0,75.0,417.9226491174713,0.0,Heavy User,False
19,0,100.0,579.0757715919781,0.0,Digital Addict,False
20,0,75.0,389.263734153938,0.0,Heavy User,False
21,0,100.0,561.0378274487218,0.0,Digital Addict,False
22,0,25.0,155.0247551795815,0.0,Moderate User,False
23,0,75.0,407.8829621703243,0.0,Heavy User,False
24,0,25.0,121.41507481335144,0.0,Moderate User,False
25,0,0.0,101.63032688079169,0.0,Minimalist,False
26,0,50.0,209.1107301786144,0.0,Active User,False
27,0,100.0,553.167031248819,0.0,Digital Addict,False
28,0,0.0,56.33215621665766,0.0,Minimalist,False
29,0,75.0,389.0401668096616,0.0,Heavy User,False
30,0,0.0,71.58812710236371,0.0,Minimalist,False
31,0,100.0,526.2730093184355,0.0,Digital Addict,False
32,0,75.0,362.85368740425054,0.0,Heavy User,False
33,0,100.0,589.7706762291391,0.0,Digital Addict,False
34,0,25.0,125.06959261461068,0.0,Moderate User,False
35,0,75.0,359.2259597109748,0.0,Heavy User,False
36,0,75.0,373.1131599979021,0.0,Heavy User,False
37,0,25.0,80.09121320102493,0.0,Moderate User,False
38,0,75.0,421.4853149730713,0.0,Heavy User,False
39,0,0.0,61.62777455787583,0.0,Minimalist,False
40,0,50.0,231.62030085893596,0.0,Active User,False
41,0,100.0,481.86297313931,0.0,Digital Addict,False
42,0,0.0,59.15689495575512,0.0,Minimalist,False
43,0,50.0,231.69874943242985,0.0,Active User,False
44,0,50.0,188.78493020654255,0.0,Active User,False
45,0,50.0,241.18781536245064,0.0,Active User,False
46,0,75.0,373.09503748722506,0.0,Heavy User,False
47,0,25.0,156.9712004495949,0.0,Moderate User,False
48,0,75.0,389.3275214417984,0.0,Heavy User,False
49,0,0.0,46.3615057983513,0.0,Minimalist,False
50,0,75.0,440.2215167952011,0.0,Heavy User,False
51,0,50.0,264.39704054826933,0.0,Active User,False
52,0,25.0,127.21239851569062,0.0,Moderate User,False
53,0,75.0,350.09326289526905,0.0,Heavy User,False
54,0,75.0,295.77567837980337,0.0,Heavy User,False
55,0,0.0,46.13583317787845,0.0,Minimalist,False
56,0,0.0,69.53838101922784,0.0,Minimalist,False
57,0,50.0,219.77819910649757,0.0,Active User,False
58,0,25.0,116.64132765873708,0.0,Moderate User,False
59,0,100.0,546.7039962722779,0.0,Digital Addict,False
60,0,0.0,69.79995936426303,0.0,Minimalist,False
61,0,50.0,271.2154699183033,0.0,Active User,False
62,0,0.0,63.275588651010445,0.0,Minimalist,False
63,0,0.0,41.6031897589284,0.0,Minimalist,False
64,0,0.0,82.62301028387677,0.0,Minimalist,False
65,0,25.0,105.01705119425355,0.0,Moderate User,False
66,0,50.0,228.4897344713308,0.0,Active User,False
67,0,50.0,241.6616000905121,0.0,Active User,False
68,0,75.0,440.26812509926816,0.0,Heavy User,False
69,0,0.0,60.31171802972891,0.0,Minimalist,False
70,0,0.0,46.644159350825205,0.0,Minimalist,False
71,0,25.0,197.42493721922636,0.0,Moderate User,False
72,0,100.0,536.7523515920483,0.0,Digital Addict,False
73,0,0.0,48.27642955786485,0.0,Minimalist,False
74,0,75.0,408.00602765548206,0.0,Heavy User,False
75,0,25.0,89.44573264007246,0.0,Moderate User,False
76,0,50.0,175.67608412608797,0.0,Active User,False
77,0,75.0,363.2113294346362,0.0,Heavy User,False
78,0,25.0,173.2452551164741,0.0,Moderate User,False
79,0,0.0,54.42426658149655,0.0,Minimalist,False
80,0,50.0,306.2874058375049,0.0,Active User,False
81,0,25.0,123.00326417288127,0.0,Moderate User,False
82,0,75.0,338.9243543236593,0.0,Heavy User,False
83,0,100.0,581.4697990936229,0.0,Digital Addict,False
84,0,75.0,438.5044678152448,0.0,Heavy User,False
85,0,0.0,36.19158733752096,0.0,Minimalist,False
86,0,25.0,154.0733278399349,0.0,Moderate User,False
87,0,75.0,369.1140988404175,0.0,Heavy User,False
88,0,25.0,106.34828031069644,0.0,Moderate User,False
89,0,50.0,314.0669008716639,0.0,Active User,False
90,0,75.0,369.8396123574087,0.0,Heavy User,False
91,0,25.0,192.01158282087945,0.0,Moderate User,False
92,0,100.0,558.3421065200387,0.0,Digital Addict,False
93,0,0.0,72.40905862090526,0.0,Minimalist,False
94,0,25.0,138.0856361020065,0.0,Moderate User,False
95,0,75.0,361.8355381451527,0.0,Heavy User,False
96,0,0.0,74.53030375134247,0.0,Minimalist,False
97,0,75.0,423.85358464835815,0.0,Heavy User,False
98,0,0.0,30.0,0.0,Minimalist,False
99,0,50.0,260.33445963447366,0.0,Active User,False
0,1,17.36283950788764,111.35762587903743,29.166666666666668,Moderate User,False
1,1,41.97461623525662,300.26838396623185,62.5,Active User,False
2,1,33.72275872698751,261.3382449411556,45.833333333333336,Active User,False
3,1,14.600623089291153,57.67386642901555,21.875,Minimalist,False
