scenario,run,seed,final_stress_mean,final_stress_std,burnout_count,total_stress_auc
Top 5 Influencers (High Degree),0,42,39.96275478585836,26.423084261970338,4,114091.07768795578
Top 5 Influencers (High Degree),1,43,41.47586272378162,26.455269868138576,4,113848.16922189445
Top 5 Influencers (High Degree),2,44,39.65273665657624,26.510719176979045,4,113790.83062331702
Top 5 Influencers (High Degree),3,45,39.351161912367154,26.34268375011444,4,111943.93362545673
Top 5 Influencers (High Degree),4,46,39.98638200335265,25.81184685468179,2,114955.45930041555
Random 5 Agents,0,42,40.69354832613425,27.163842492468927,3,115194.08550907331
Random 5 Agents,1,43,41.96236587225142,26.942167414187104,4,115253.80342917504
Random 5 Agents,2,44,40.64745490473453,27.068877138112036,3,113399.67645387948
Random 5 Agents,3,45,39.78517691839561,26.58964491276489,3,112568.52728573508
Random 5 Agents,4,46,41.92573457990875,27.075386890359002,4,116736.7064225305
Bottom 5 (Low Degree),0,42,41.29212619253411,26.175705393698326,3,116496.75445983009
Bottom 5 (Low Degree),1,43,42.636313576311494,26.250310414695303,4,115551.6827470566
Bottom 5 (Low Degree),2,44,42.683540303088215,26.46345354483754,3,116327.78229603432
Bottom 5 (Low Degree),3,45,41.07933130646591,25.928658368464482,3,113573.97978545314
Bottom 5 (Low Degree),4,46,40.42540993479171,26.003631701374786,3,115675.11433101649
