run_id,peak_stress_1_30_diff,peak_burnout_1_30_diff,day_of_peak_stress_1_30_diff,day_of_peak_burnout_1_30_diff
0,0.02066818192669473,0,0,0
1,0.017916936165221387,0,0,0
2,0.0,0,0,0
3,0.016376470185306857,0,0,0
4,0.0,0,0,0
5,0.020669836998663982,0,0,0
6,0.019003682585633896,0,0,0
7,0.020576027273961017,0,0,0
8,0.0,0,0,0
9,0.01582682269399527,0,0,0
10,0.0,0,0,0
11,0.02032649565707345,0,0,0
12,0.019758491223640817,0,0,0
13,0.020986922949361997,0,0,0
14,0.02085602823734689,0,0,0
15,0.019279505072347547,0,0,0
16,0.019837450673676926,0,0,0
17,0.01833136531324442,0,0,-1
18,0.020372825149436835,0,0,0
19,0.0,0,0,0
20,0.0,0,0,0
21,0.01965399311042404,0,0,0
22,0.0,0,0,0
23,0.018338164918276334,0,0,0
24,0.019330685385483548,0,0,0
25,0.01922960722329492,0,0,0
26,0.0,0,0,0
27,0.020440888823060277,0,0,0
28,0.017305566129678596,0,0,0
29,0.01980435936091851,0,0,0
