scenario,run_id,peak_stress_1_30,peak_burnout_1_30,day_of_peak_stress_1_30,day_of_peak_burnout_1_30
Baseline,0,80.26468993221512,1,22,10
Baseline,1,79.8515397366009,0,19,1
Baseline,2,79.7944621257463,0,11,1
Baseline,3,80.04332758374109,1,13,13
Baseline,4,79.98005080066321,0,8,1
Baseline,5,79.75539021621438,0,27,1
Baseline,6,79.8299990717193,0,18,1
Baseline,7,80.2573859791111,1,15,14
Baseline,8,80.06408184989114,1,10,10
Baseline,9,79.7107364140829,0,13,1
Baseline,10,79.74200989415,0,8,1
Baseline,11,80.0750641900214,1,16,14
Baseline,12,80.03635645466868,1,15,15
Baseline,13,79.54203224923192,0,27,1
Baseline,14,80.69887679276397,1,30,11
Baseline,15,79.4537137270791,0,22,1
Baseline,16,79.73181513291478,0,18,1
Baseline,17,80.10209280499825,1,23,18
Baseline,18,80.3418297011608,1,27,11
Baseline,19,79.72099189876694,0,12,1
Baseline,20,80.4633313274568,1,8,7
Baseline,21,79.77688142382588,0,28,1
Baseline,22,80.30915184344389,1,11,10
Baseline,23,80.210385783771,1,15,10
Baseline,24,79.84590562740048,0,17,1
Baseline,25,79.65743933343545,0,20,1
Baseline,26,80.2143386112129,1,11,10
Baseline,27,80.31608906626755,1,30,10
Baseline,28,79.87606975787983,0,14,1
Baseline,29,79.9386619694758,0,29,1
Intervention,0,80.24402175028843,1,22,10
Intervention,1,79.83362280043568,0,19,1
Intervention,2,79.7944621257463,0,11,1
Intervention,3,80.02695111355578,1,13,13
Intervention,4,79.98005080066321,0,8,1
Intervention,5,79.73472037921572,0,27,1
Intervention,6,79.81099538913367,0,18,1
Intervention,7,80.23680995183715,1,15,14
Intervention,8,80.06408184989114,1,10,10
Intervention,9,79.6949095913889,0,13,1
Intervention,10,79.74200989415,0,8,1
Intervention,11,80.05473769436432,1,16,14
Intervention,12,80.01659796344504,1,15,15
Intervention,13,79.52104532628256,0,27,1
Intervention,14,80.67802076452662,1,30,11
Intervention,15,79.43443422200676,0,22,1
Intervention,16,79.7119776822411,0,18,1
Intervention,17,80.083761439685,1,23,19
Intervention,18,80.32145687601137,1,27,11
Intervention,19,79.72099189876694,0,12,1
Intervention,20,80.4633313274568,1,8,7
Intervention,21,79.75722743071546,0,28,1
Intervention,22,80.30915184344389,1,11,10
Intervention,23,80.19204761885273,1,15,10
Intervention,24,79.826574942015,0,17,1
Intervention,25,79.63820972621215,0,20,1
Intervention,26,80.2143386112129,1,11,10
Intervention,27,80.29564817744449,1,30,10
Intervention,28,79.85876419175015,0,14,1
Intervention,29,79.91885761011488,0,29,1
