run_id,seed,scenario,final_mean_stress,final_max_stress,final_mean_usage,burnout_count_day_30,peak_burnout_count,peak_burnout_count_1_30,peak_stress,total_stress_auc
0,100,Baseline,39.14736329323068,86.15606809651806,295.7187066262301,1,19,2,100.0,115995.98547807323
0,100,Intervention,36.325788549506,86.12847959872389,281.62492805135093,1,19,1,100.0,110398.54295679418
1,101,Baseline,37.66892249902369,84.8489109523289,284.91957407379334,1,19,2,100.0,112850.4870412236
1,101,Intervention,35.35077933441989,84.823200095982,273.33599907826016,1,19,1,100.0,107748.62525040944
2,102,Baseline,36.812637620418535,85.0485347472403,279.06530668727356,1,19,1,100.0,109954.23151312213
2,102,Intervention,34.47881020013923,85.02161962936297,267.1261513441172,1,19,1,100.0,105770.30223950492
3,103,Baseline,38.087325316960985,84.8512007575419,287.36466134533634,1,19,2,100.0,115244.5069826719
3,103,Intervention,35.2779524971256,84.82665752924724,273.23001746350974,1,19,1,100.0,110146.91315418898
4,104,Baseline,36.39636967181672,84.86918472344001,277.2272257213463,1,19,1,100.0,110073.75809062138
4,104,Intervention,34.13087620303742,84.84244006540875,265.6471901225763,1,19,1,100.0,106003.66409879837
5,105,Baseline,38.95421075391492,85.59455068114384,295.54339376475457,1,19,1,100.0,114303.97586432532
5,105,Intervention,36.77970713608906,85.5668296661254,285.5285049669005,1,19,1,100.0,109798.14860948276
6,106,Baseline,37.86232711800241,85.61177963501146,284.7139627347904,1,19,1,100.0,113406.70657308656
6,106,Intervention,35.09425360015525,85.58433035579735,270.800453625964,1,19,1,100.0,108363.30244321737
7,107,Baseline,37.965201847373116,85.16390362040889,288.2797376493402,1,19,2,100.0,114055.66307394602
7,107,Intervention,35.34597374587573,85.13626391419275,275.0411394245768,1,19,1,100.0,109004.42961682513
8,108,Baseline,38.52516134291451,85.71089793771512,293.51639006210706,1,19,1,100.0,114241.79481559106
8,108,Intervention,36.11721547152601,85.68338058916487,281.6622159819311,1,19,1,100.0,109338.72597572787
9,109,Baseline,38.389295728329564,85.00688968858586,291.104530736102,1,19,1,100.0,113186.8931938462
9,109,Intervention,35.50077241085583,84.98033942481568,276.60807556696585,1,19,1,100.0,107678.8879274865
10,110,Baseline,36.605614073409384,83.53694783919093,275.8252663556421,1,19,2,100.0,109493.19886454394
10,110,Intervention,33.67327057904222,83.51155646945487,260.97126969935545,1,19,2,100.0,104154.86194179796
