day30_burnout_count,peak_burnout_count_days_1_30,ever_burnout_count_days_1_30,severe_agent_days,persistent_burnout_3day_count,consecutive_burnout_2day_count,severe_stress_burden,day30_p90_stress,day30_p95_stress,day30_top10pct_mean_stress,days_1_30_p95_stress,scenario,run_id
1,2,3,30,2,2,139.33828103279745,70.85603857079703,74.07346069453114,75.58232069302882,73.28323990095548,Baseline,0
1,2,3,26,2,2,101.74004667846674,69.3972613446761,72.6979390013667,73.93282257906314,72.25562985000373,Baseline,1
1,1,2,22,1,1,97.02822449377146,70.11234654278867,71.95599845619759,73.18747343479893,70.58013072979017,Baseline,2
1,2,3,27,2,2,111.95926973480108,70.88339497161942,73.2137007368206,74.53673951202124,73.15020167138383,Baseline,3
1,1,2,25,1,1,125.77902293823277,70.03366940328964,72.45322749527334,73.89002551353877,71.73072157938647,Baseline,4
1,1,1,17,1,1,80.62851520745319,71.06560059032711,73.9960570707519,75.24153009510214,72.06413503332764,Baseline,5
1,1,2,16,1,1,75.88422083382599,70.48942168133652,73.13483073947202,74.94298236109827,72.73074341743268,Baseline,6
1,2,3,33,2,2,122.24342153497703,70.92853557093447,72.9324691907765,74.52992824140057,72.79650368894632,Baseline,7
1,1,2,21,1,1,102.90670542255421,69.83570969253154,72.6980699390697,74.18359081977516,72.51087697453947,Baseline,8
1,1,2,21,1,1,104.27817741647016,70.1062601165331,73.22155940929856,74.76425818836353,72.45359602447157,Baseline,9
1,2,3,33,2,2,124.29414091449179,69.41644696142474,72.01766000208325,73.62623358853497,71.7594940082609,Baseline,10
1,1,2,16,1,1,79.27048717481726,71.33586142363606,72.63677143803335,74.26526415200905,72.6420884233968,Baseline,11
1,1,2,24,1,1,121.49208515839273,69.82066146218038,73.63771860949922,74.3548240376076,72.57111538191813,Baseline,12
1,1,2,13,1,1,61.903567338453925,69.17346695653242,72.33535090572123,72.87704555744284,71.29100999205636,Baseline,13
1,2,3,23,1,1,113.29984532897944,72.85330129578388,74.53822649903755,76.4384626672788,73.35948091832452,Baseline,14
1,1,2,14,1,1,66.85676637464958,70.32649461119023,73.74735493795065,74.14765250471989,72.55406550766907,Baseline,15
1,1,2,18,1,1,76.60203714012442,69.90984569530708,72.99555945308427,74.08714284180496,71.9546801177363,Baseline,16
